Location,Population,% ofworld,Date,Source (official or fromtheUnited Nations),Notes
Morocco,36828330,0.4,1 Sep 2024,2024 census result[52],[m]
Angola,36170961,0.4,1 Jul 2025,National annual projection[53],
Saudi Arabia,35300280,0.4,1 Jul 2024,Official estimate[54],
Peru,34350244,0.4,1 Jul 2025,National annual projection[55],
Malaysia,34231700,0.4,30 Jun 2025,National quarterly estimate[56],
Mozambique,34090466,0.4,1 Jul 2025,National annual projection[57],
Ghana,33742380,0.4,1 Jul 2025,National annual projection[58],
Ukraine,32862000,0.4,1 Apr 2025,IMF estimate[59],[n]
Yemen,32684503,0.4,1 Jul 2023,Official estimate[60],
Madagascar,31727042,0.4,1 Jul 2025,National annual projection[61],
Nepal,29911840,0.4,2025,National annual projection[62],
Cameroon,29442327,0.4,1 Jul 2025,National annual projection[63],
Ivory Coast,29389150,0.4,14 Dec 2021,2021 census result[64],
Venezuela,28517000,0.3,1 Jul 2025,UN projection[65],
Australia,27400013,0.3,31 Dec 2024,Official projection[66],[o]
Niger,26312034,0.3,1 Jul 2024,National annual projection[67],
North Korea,25950000,0.3,1 Jul 2024,National annual projection[68],
Syria,25620000,0.3,1 Jul 2025,UN projection[69],
Burkina Faso,24070553,0.3,1 Jul 2025,National projection[70],
Taiwan,23337936,0.3,31 Jul 2025,Official estimate[71],[p]
Mali,22395489,0.3,15 Jun 2022,2022 census result[72],
Sri Lanka,21763170,0.3,19 Dec 2024,Preliminary census result[73],
Malawi,20734262,0.3,1 Jul 2025,National annual projection[74],
Kazakhstan,20387811,0.2,1 Jul 2025,Official estimate[75],
Chile,20206953,0.2,30 Jun 2025,National annual projection[76],
Zambia,19693423,0.2,8 Sep 2022,2022 census result[77],
Somalia,19655000,0.2,1 Jul 2025,UN projection[78],[q]
Chad,19340757,0.2,1 Jul 2025,National annual projection[79],
Romania,19064409,0.2,1 Jan 2024,Official estimate[80],
Senegal,18126390,0.2,15 May 2023,2023 census result[81],
Netherlands,18080943,0.2,30 Jun 2025,Official estimate[82],[r]
Guatemala,18079810,0.2,1 Jul 2025,National annual projection[83],
Cambodia,17577760,0.2,1 Jul 2025,Official projection[84],
Zimbabwe,17073087,0.2,1 Jul 2025,Official projection[85],
Ecuador,16938986,0.2,1 Oct 2022,2022 census result[86],
South Sudan,15786898,0.2,1 Jul 2025,National annual projection[87],
Guinea,14363931,0.2,1 Jul 2025,National annual projection[88],
Rwanda,14104969,0.2,1 Jul 2025,National annual projection[89],
Benin,13224860,0.2,1 Jul 2025,National annual projection[90],
Burundi,12332788,0.2,16 Aug 2024,Preliminary census result[91],
Tunisia,11972169,0.1,6 Nov 2024,2024 census result[92],
Haiti,11867032,0.1,1 Jul 2024,National annual projection[93],
Belgium,11825551,0.1,1 Jan 2025,Official estimate[94],
Papua New Guinea,11781559,0.1,1 Jul 2021,National estimate[95],
Jordan,11734000,0.1,31 Dec 2024,National estimate[96],
Bolivia,11312620,0.1,23 Mar 2024,2024 census result[97],
Czech Republic,10876875,0.1,31 Mar 2025,Official estimate[98],
Dominican Republic,10771504,0.1,10 Nov 2022,2022 census result[99],
Portugal,10749635,0.1,31 Dec 2024,2024 estimate[100],
United Arab Emirates,10678556,0.1,31 Dec 2023,Official estimate[101],
Sweden,10592686,0.1,30 Jun 2025,Monthly national estimate[102],
Tajikistan,10499000,0.1,1 Jan 2025,Official estimate[103],
Greece,10400720,0.1,1 Jan 2024,Official estimate[104],
Azerbaijan,10236227,0.1,1 May 2025,Monthly national estimate[105],
Israel,10105800,0.1,30 Jun 2025,National monthly estimate[106],[s]
Honduras,9892632,0.1,1 Jul 2024,National annual projection[107],
Cuba,9748007,0.1,31 Dec 2024,Official estimate[108],
Hungary,9539502,0.1,1 Jan 2025,Official estimate[109],
Austria,9200931,0.1,1 Jul 2025,National quarterly estimate[110],
Belarus,9109280,0.1,1 Jan 2025,Official estimate[111],
Sierra Leone,9077691,0.1,1 Jul 2025,National annual projection[112],
Switzerland,9067144,0.1,31 Mar 2025,National quarterly estimate[113],
Togo,8095498,0.1,8 Nov 2022,2022 census result[114],
Laos,7647000,0.09,1 Jul 2024,National annual projection[115],
Hong Kong(China),7527500,0.09,30 Jun 2025,National estimate[116],
Libya,7459000,0.09,1 Jul 2025,UN projection[117],
Kyrgyzstan,7281800,0.09,1 Jan 2025,Monthly national estimate[118],
Turkmenistan,7057841,0.09,17 Dec 2022,2022 census result[119],
Nicaragua,6803886,0.08,30 Jun 2023,Official estimate[120],
Serbia,6567783,0.08,1 Jan 2025,Official estimate[121],[t]
Central African Republic,6470307,0.08,1 Jul 2024,National annual projection[122],
Bulgaria,6437360,0.08,31 Dec 2024,Official annual estimate[123],
Republic of the Congo,6142180,0.07,17 May 2023,2023 census result[124],
Paraguay,6109644,0.07,9 Nov 2022,2022 census result[125],
Singapore,6036900,0.07,30 Jun 2024,Official estimate[126],
El Salvador,6029976,0.07,2 May 2024,2024 census result[127],
Denmark,6002420,0.07,1 Jul 2025,National quarterly estimate[128],[u]
Finland,5645651,0.07,31 Jul 2025,Monthly national estimate[129],[v]
Norway,5606944,0.07,30 Jun 2025,National quarterly estimate[130],[w]
Lebanon,5490000,0.07,1 Jul 2021,Official estimate[131],
Palestine,5483450,0.07,1 Jan 2023,National annual projection[132],[x]
Slovakia,5415978,0.07,31 Mar 2025,National quarterly estimate[133],
Ireland,5380300,0.07,1 Apr 2024,National estimate[134],
New Zealand,5324700,0.06,30 Jun 2025,National quarterly estimate[135],[y]
Costa Rica,5309625,0.06,30 Jun 2024,National annual projection[136],
Oman,5306976,0.06,30 Jun 2025,Monthly national estimate[137],
Liberia,5248621,0.06,10 Nov 2022,2022 census result[138],
Mauritania,4927532,0.06,25 Dec 2023,2023 census result[139],
Kuwait,4881254,0.06,1 Jan 2025,Official estimate[140],
Panama,4064780,0.05,8 Jan 2023,2023 census result[141],
Croatia,3859686,0.05,1 Jul 2023,Official estimate[142],
Georgia,3704500,0.05,1 Jan 2025,Official estimate[143],[z]
Eritrea,3607000,0.04,1 Jul 2025,UN projection[144](see note),[aa]
Mongolia,3544835,0.04,31 Dec 2024,National annual projection[151],
Uruguay,3499451,0.04,31 May 2023,2023 National census[152],
Bosnia and Herzegovina,3422000,0.04,1 Jul 2023,Official estimate[153],
Puerto Rico(US),3203295,0.04,1 Jul 2024,Annual projection[154],
Qatar,3173024,0.04,30 Nov 2024,Monthly national estimate[155],
Armenia,3081100,0.04,1 Jan 2025,National quarterly estimate[156],
Namibia,3022401,0.04,24 Sep 2023,2023 National census[157],
Lithuania,2894177,0.04,1 Aug 2025,Monthly national estimate[158],
Jamaica,2825544,0.03,1 Jul 2019,National projection[159],
Gabon,2469296,0.03,1 Jul 2025,National annual projection[160],
Gambia,2422712,0.03,1 May 2024,Preliminary census results[161],
Moldova,2381300,0.03,1 Jan 2025,Official estimate[162],[ab]
Albania,2363314,0.03,1 Jan 2025,Annual national estimate[163],
Botswana,2359609,0.03,18 Mar 2022,2022 census result[164],
Lesotho,2306000,0.03,1 Jul 2023,Official projection[165],
Slovenia,2130638,0.03,1 Apr 2025,National quarterly estimate[166],
Latvia,1830400,0.02,1 Jul 2025,Monthly national estimate[167],
North Macedonia,1826247,0.02,31 Dec 2023,Official estimate[168],
Guinea-Bissau,1781308,0.02,1 Jul 2023,National annual projection[169],
Equatorial Guinea,1668768,0.02,1 Jul 2024,Official estimate[170],
Bahrain,1594654,0.02,31 Dec 2024,Official estimate[171],
Kosovo,1585566,0.02,4 Apr 2024,2024 national census[172],
Timor-Leste,1391221,0.02,1 Jul 2025,National annual projection[173],
Estonia,1369995,0.02,1 Jan 2025,Official estimate[174],
Trinidad and Tobago,1368333,0.02,30 Jun 2024,Official estimate[175],
Mauritius,1244477,0.02,31 Dec 2024,National estimate[176],
Eswatini,1235549,0.02,1 Jul 2024,Official projection[177],
Djibouti,1066809,0.01,20 May 2024,2024 census result[178],
Cyprus,966400,0.01,31 Dec 2023,Official estimate[179],[ac]
Fiji,900869,0.01,1 Jan 2025,National annual projection[180],
Comoros,870038,0.01,2023,Official estimate[181],
Bhutan,784043,0.01,2025,National annual projection[182],
Guyana,772975,0.009,1 Jul 2021,Official estimate[183],
Solomon Islands,750325,0.009,1 Jul 2024,National annual projection[184],
Macau(China),685900,0.008,30 Jun 2025,National quarterly estimate[185],
Luxembourg,681973,0.008,1 Jan 2025,Official estimate[186],
Montenegro,623327,0.008,1 Jan 2025,Official estimate[187],
Suriname,616500,0.008,1 Jul 2021,Official estimate[188],
Western Sahara(disputed),600904,0.007,1 Jul 2025,UN projection[189],
Malta,574250,0.007,31 Dec 2024,Official estimate[190],
Maldives,515132,0.006,13 Sep 2022,2022 census result[191],
Cape Verde,491233,0.006,16 Jun 2021,2021 census result[192],
Northern Cyprus,476214,0.006,31 Dec 2023,Official projection[193],[ad]
Brunei,455500,0.006,1 Jul 2024,Official estimate[194],
Belize,417634,0.005,1 Jul 2025,Official estimate[195],
Bahamas,398165,0.005,4 Apr 2022,2022 census result[196],
Iceland,391810,0.005,1 Jul 2025,National quarterly estimate[197],
Transnistria,360938,0.004,31 Dec 2022,Official estimate[198],[ae]
Vanuatu,321409,0.004,1 Jul 2024,National annual projection[199],
French Polynesia(France),279500,0.003,31 Dec 2024,National annual projection[200],
New Caledonia(France),264596,0.003,1 Jan 2025,National annual projection[201],
Barbados,267800,0.003,31 Dec 2022,[202],
Abkhazia,244236,0.003,1 Jan 2022,Official estimate[203],[af]
São Tomé and Príncipe,209607,0.003,2024,Preliminary census result[204],
Samoa,205557,0.003,6 Nov 2021,Census 2021[205],
Saint Lucia,184100,0.002,1 Jul 2023,Official estimate[206],
Curaçao(Netherlands),155826,0.002,2 Sep 2023,2023 census result[207],
Guam(US),153836,0.002,1 Apr 2020,2020 census result[208],
Seychelles,122038,0.001,31 Dec 2024,Official estimate[209],
Kiribati,120740,0.001,1 Jul 2021,National annual projection[199],
Saint Vincent and the Grenadines,110872,0.001,1 Jul 2022,Official estimate[210],
Grenada,109021,0.001,2021,Preliminary Census results[211],
Aruba(Netherlands),107566,0.001,31 Dec 2023,Official estimate[212],
Micronesia,105564,0.001,2025,National annual projection[213],
Antigua and Barbuda,103603,0.001,1 Jan 2024,National annual estimate[214],
Jersey(UK),103267,0.001,21 Mar 2021,2021 census result[215],
Tonga,100179,0.001,1 Jan 2022,National annual estimate[216],
Andorra,88306,0.001,31 Jul 2025,Monthly national estimate[217],
U.S. Virgin Islands(US),87146,0.001,1 Apr 2020,2020 census result[218],
Cayman Islands(UK),84738,0.001,31 Dec 2023,National annual projection[219],
Isle of Man(UK),84530,0.001,1 Apr 2023,Official estimate[220],
Dominica,67408,0.0008,31 Dec 2017,Official estimate[221],
Guernsey(UK),64781,0.0008,31 Dec 2023,National quarterly estimate[222],
Bermuda(UK),64055,0.0008,1 Jul 2021,National annual projection[223],
Greenland(Denmark),56542,0.0007,1 Jan 2025,National quarterly estimate[224],
South Ossetia,56520,0.0007,31 Dec 2021,Official estimate[225],[ag]
Faroe Islands(Denmark),55042,0.0007,1 Jul 2025,Monthly national estimate[226],
Saint Kitts and Nevis,51320,0.0006,2022,2022 census result[227],
Turks and Caicos Islands(UK),50894,0.0006,1 Jul 2024,Official estimate[228],
American Samoa(US),49710,0.0006,1 Apr 2020,2020 census result[229],
Northern Mariana Islands(US),47329,0.0006,1 Apr 2020,2020 census result[230],
Marshall Islands,42418,0.0005,30 Sep 2021,2021 Census[231],
Sint Maarten(Netherlands),41349,0.0005,1 Jan 2024,Official estimate[232],
Liechtenstein,40900,0.0005,30 Dec 2024,National estimate[233],
British Virgin Islands(UK),39471,0.0005,1 Jul 2024,UN estimate[234],
Monaco,38423,0.0005,31 Dec 2024,Census[235],
Gibraltar(UK),38000,0.0005,14 Nov 2022,Preliminary census results[236],
San Marino,34138,0.0004,30 Jun 2025,Monthly national estimate[237],
Saint Martin(France),31496,0.0004,1 Jan 2025,Official estimate[238],
Bonaire(Netherlands),26552,0.0003,1 Jul 2025,Official estimate,
Palau,16733,0.0002,1 Jul 2021,2021 Census[239],
Anguilla(UK),16010,0.0002,31 Dec 2024,Official estimate[240],
Cook Islands(New Zealand),15040,0.0002,1 Jul 2021,2021 Census[241],
Nauru,11680,0.0001,30 Oct 2021,2021 Census[242],
Wallis and Futuna(France),11620,0.0001,24 Jul 2023,2023 Census[243],
Tuvalu,10643,0.0001,12 Dec 2022,2022 Census[244],
Saint Barthélemy(France),10562,0.0001,1 Jan 2025,Official estimate[238],
Saint Pierre and Miquelon(France),5819,0.0,1 Jan 2025,Official estimate[238],
"Saint Helena, Ascension and Tristan da Cunha(UK)",5651,0.0,1 Jul 2021,2021 Census[245][246][247],
Montserrat(UK),4386,0.0,23 Sep 2023,2023 census result[248],
Falkland Islands(UK),3662,0.0,10 Oct 2021,2021 census result[249],
Norfolk Island(Australia),2188,0.0,1 Jan 2021,2021 Census[250],
Saba(Netherlands),2158,0.0,1 Jul 2025,Official estimate,
Christmas Island(Australia),1692,0.0,1 Jan 2021,2021 Census[251],
Niue(New Zealand),1681,0.0,11 Nov 2022,2022 Census[252],
Tokelau(New Zealand),1647,0.0,1 Jan 2019,2019 Census[253],
Vatican City,882,0.0,31 Dec 2024,Official figure[254],[ah]
Cocos (Keeling) Islands(Australia),593,0.0,30 Jun 2020,2021 Census[255],
Pitcairn Islands(UK),35,0.0,1 Jul 2023,Official estimate[256],
